index,company_name,industry,revenue_range,hg_rank,hg_score,imd_rank,imd_score,total_jobs,ai_jobs,ai_job_ratio
72,fujitsu,"Professional, Scientific and Technical Services","Over $1,000,000,000",73,39,,,,,
73,hewlett packard enterprise,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",74,39,,,,,
74,dentsu media,"Professional, Scientific and Technical Services","Over $1,000,000,000",75,39,,,,,
75,warner bros discovery,Media and Entertainment,"Over $1,000,000,000",76,39,,,,,
76,lockheed martin,Manufacturing,"Over $1,000,000,000",77,39,146.0,39.0,,,
77,intuit,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",78,39,,,,,
78,paypal,Banking and Financial Services,"Over $1,000,000,000",79,38,116.0,43.0,,,
79,astrazeneca,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",80,38,23.0,63.0,,,
80,morgan stanley,Banking and Financial Services,"Over $1,000,000,000",81,38,36.0,57.0,,,
81,state farm insurance,Insurance,"Over $1,000,000,000",82,38,,,,,
82,roche,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",83,38,101.0,45.0,,,
83,fractal,"Professional, Scientific and Technical Services","$200,000,000 to $499,999,999",84,38,,,,,
84,pepsico,Manufacturing,"Over $1,000,000,000",85,38,225.0,29.0,,,
85,essenware,,,86,37,,,,,
86,huawei,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",87,37,,,,,
87,anthem blue cross,Insurance,"Over $1,000,000,000",88,36,,,,,
88,u s bancorp,Banking and Financial Services,"Over $1,000,000,000",89,36,226.0,29.0,,,
89,pfizer,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",90,36,,,,,
90,google,"Professional, Scientific and Technical Services","Over $1,000,000,000",91,36,,,,,
91,rakuten mobile,Media and Entertainment,"Over $1,000,000,000",92,36,,,,,
92,nokia oyj,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",93,36,,,,,
93,takeda pharmaceutical,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",94,36,,,,,
94,bank of new york mellon,Banking and Financial Services,"Over $1,000,000,000",95,36,42.0,55.0,,,
95,cigna,Insurance,"Over $1,000,000,000",96,35,106.0,44.0,,,
96,vanguard,Banking and Financial Services,"Over $1,000,000,000",97,35,,,,,
97,nustar technologies,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",98,35,,,,,
98,johnson controls,Manufacturing,"Over $1,000,000,000",99,35,,,,,
99,royal bank of canada,Banking and Financial Services,"$10,000,000 to $49,999,999",100,35,,,,,
100,gsk,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",101,35,90.0,46.0,,,
101,qualcomm,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",102,35,20.0,65.0,,,
102,sap,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",103,35,6.0,77.0,,,
103,united parcel service,Transportation and Warehousing,"Over $1,000,000,000",104,35,220.0,30.0,,,
104,towards ai,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",105,35,,,,,
105,blue cross blue shield association,Insurance,"Over $1,000,000,000",106,35,,,,,
106,acl digital,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",107,35,,,,,
107,seg,Industry Associations,"$10,000,000 to $49,999,999",108,35,,,,,
108,kaiser permanente,Insurance,"Over $1,000,000,000",109,35,,,,,
109,inetum,"Professional, Scientific and Technical Services","Over $1,000,000,000",110,35,,,,,
110,nike,Manufacturing,"Over $1,000,000,000",111,34,216.0,31.0,,,
111,discover financial services,Banking and Financial Services,"Over $1,000,000,000",112,34,,,,,
112,abbott,Manufacturing,"Over $1,000,000,000",113,34,,,,,
113,bae systems,Manufacturing,"Over $1,000,000,000",114,34,,,,,
114,shell,Mining and Natural Resources,"Over $1,000,000,000",115,34,207.0,32.0,,,
115,fidelity national information services,Banking and Financial Services,"Over $1,000,000,000",116,34,,,,,
116,thales,Manufacturing,"Over $1,000,000,000",117,34,,,,,
117,sp global,Banking and Financial Services,"$1,000,000 to $9,999,999",118,34,,,,,
118,braintrust,Computer and Electronic Product Manufacturing,"$10,000,000 to $49,999,999",119,34,,,,,
119,inspyrsolutions com,Service Industry,"$10,000,000 to $49,999,999",120,34,,,,,
120,harman professional,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",121,34,,,,,
121,centene,Insurance,"Over $1,000,000,000",122,34,180.0,34.0,,,
122,gartner,"Professional, Scientific and Technical Services","Over $1,000,000,000",123,33,,,,,
123,nbcuniversal,Media and Entertainment,"Over $1,000,000,000",124,33,,,,,
124,prudential financial,Insurance,"Over $1,000,000,000",125,33,198.0,32.0,,,
125,mastercard incorporated,Banking and Financial Services,"Over $1,000,000,000",126,33,,,,,
