rank,company,ticker,industry,city,state,country,revenue,profit,assets,employees
381,Taikang Insurance Group,~,"Insurance: Life, Health (Mutual)",Beijing,~,China,$39.41B,$1.79B,$235.07B,55.41K
382,Northrop Grumman,NOC,Aerospace & Defense,Falls Church,Virginia,U.S.,$39.29B,$2.06B,$46.54B,101K
383,Jiangsu Shagang Group,~,Metals,Zhangjiagang,~,China,$39.24B,$227.7M,$51.67B,44K
384,Meituan,MPNGY,Internet Services and Retailing,Beijing,~,China,$39.09B,$1.96B,$41.28B,114.86K
385,Chery Holding Group,~,Motor Vehicles & Parts,Wuhu,~,China,$39.09B,$585.7M,$37.35B,56.58K
386,Inditex,IDEXY,Specialty Retailers,Arteixo,~,Spain,$38.9B,$5.82B,$35.55B,114.51K
387,Schneider Electric,SBGSY,"Electronics, Electrical Equip.",Rueil-Malmaison,~,France,$38.81B,$4.33B,$65.05B,168.04K
388,Northwestern Mutual,~,"Insurance: Life, Health (Mutual)",Milwaukee,Wisconsin,U.S.,$38.79B,$711.4M,$358.83B,8.24K
389,Dollar General,DG,Specialty Retailers,Goodlettsville,Tennessee,U.S.,$38.69B,$1.66B,$30.8B,185.8K
390,Cenovus Energy,CVE,"Mining, Crude-Oil Production",Calgary,~,Canada,$38.69B,$3.05B,$40.89B,6.92K
391,ACS,ACSAY,Engineering & Construction,Madrid,~,Spain,$38.63B,$843.4M,$40.31B,122.98K
392,Coop Group,~,Food & Drug Stores,Basel,~,Switzerland,$38.58B,$640M,$26.14B,82.98K
393,Fairfax Financial Holdings,FRFHF,Insurance: Property and Casualty (Stock),Toronto,~,Canada,$38.42B,$4.38B,$91.99B,51.04K
394,Guangzhou Industrial Investment Holdings,~,Industrial Machinery,Guangzhou,~,China,$38.35B,$150.7M,$48.96B,88.44K
395,PBF Energy,PBF,Petroleum Refining,Parsippany,New Jersey,U.S.,$38.32B,$2.14B,$14.39B,3.78K
396,Standard Chartered,SCBFY,Banks: Commercial and Savings,London,~,Britain,$38.29B,$3.47B,$822.84B,84.96K
397,Xiaomi,XIACY,"Electronics, Electrical Equip.",Beijing,~,China,$38.28B,$2.47B,$45.68B,33.63K
398,Compass Group,CMPGY,Food Services,Chertsey,~,Britain,$38B,$1.61B,$21.49B,562.46K
399,Meiji Yasuda Life Insurance,~,"Insurance: Life, Health (Mutual)",Tokyo,~,Japan,$37.9B,$1.06B,$349.49B,47.14K
400,GSK,GSK,Pharmaceuticals,Brentford,~,Britain,$37.69B,$6.12B,$75.2B,70.21K
401,Suncor Energy,SU,Petroleum Refining,Calgary,~,Canada,$37.61B,$6.15B,$67.16B,14.91K
402,Hangzhou Industrial Investment Group,~,Diversified Financials,Hangzhou,~,China,$37.4B,$364.1M,$12.1B,4.06K
403,Uber Technologies,UBER,Internet Services and Retailing,San Francisco,California,U.S.,$37.28B,$1.89B,$38.7B,30.4K
404,DZ Bank,~,Banks: Commercial and Savings,Frankfurt,~,Germany,$37.22B,$2.3B,$711.94B,29.9K
405,GS Caltex,~,Petroleum Refining,Seoul,~,South Korea,$37.22B,$882.6M,$18.78B,3.27K
406,Suzuki Motor,SZKMY,Motor Vehicles & Parts,Hamamatsu,~,Japan,$37.18B,$1.85B,$35.61B,72.37K
407,Haier Smart Home,HSHCY,"Electronics, Electrical Equip.",Qingdao,~,China,$36.93B,$2.34B,$35.7B,112.46K
408,X5 Retail Group,~,Food & Drug Stores,Amsterdam,~,Netherlands,$36.92B,$918.8M,$17.66B,372.2K
409,La Poste,~,"Mail, Package, and Freight Delivery",Paris,~,France,$36.83B,$555.7M,$845.51B,232.73K
410,Hangzhou Iron and Steel Group,~,Metals,Hangzhou,~,China,$36.77B,$197.3M,$14.86B,11.49K
411,Shanghai Pharmaceuticals Holding,SHPMY,Wholesalers: Health Care,Shanghai,~,China,$36.77B,$532.3M,$29.86B,48.16K
412,Shandong Hi-Speed Group,~,Transportation and Logistics,Jinan,~,China,$36.74B,$491.6M,$213.27B,56.43K
413,Honeywell International,HON,Industrial Machinery,Charlotte,North Carolina,U.S.,$36.66B,$5.66B,$61.52B,95K
414,Guangdong Guangxin Holdings,~,Diversified Financials,Guangzhou,~,China,$36.61B,$86M,$17.39B,44.84K
415,S.F. Holding,~,Transportation and Logistics,Shenzhen,~,China,$36.5B,$1.16B,$31.21B,153.13K
416,Mitsubishi Electric,MIELY,"Electronics, Electrical Equip.",Tokyo,~,Japan,$36.38B,$1.97B,$40.78B,149.13K
417,Guangzhou Pharmaceutical Holdings,~,Pharmaceuticals,Guangzhou,~,China,$36.31B,$324M,$11.79B,35.39K
418,China Datang,~,Energy,Beijing,~,China,$36.27B,$332.9M,$122.38B,87.99K
419,Mapfre Group,MPFRY,Insurance: Property and Casualty (Stock),Madrid,~,Spain,$36.1B,$732.1M,$60.69B,30.87K
420,CFE,~,Utilities,Mexico City,~,Mexico,$36.08B,$5.48B,$137.34B,92.05K
421,Jardine Matheson,JMHLY,Motor Vehicles & Parts,Hong Kong,~,China,$36.05B,$686M,$89.18B,443K
422,Mondelez International,MDLZ,Food Consumer Products,Chicago,Illinois,U.S.,$36.02B,$4.96B,$71.39B,91K
423,Daiwa House Industry,DWAHY,Engineering & Construction,Osaka,~,Japan,$36B,$2.07B,$43.21B,48.48K
424,Starbucks,SBUX,Food Services,Seattle,Washington,U.S.,$35.98B,$4.12B,$29.45B,381K
425,Olam Group,OLGPF,Food Production,Singapore,~,Singapore,$35.95B,$207.6M,$25.29B,65.98K
426,Qualcomm,QCOM,Semiconductors and Other Electronic Components,San Diego,California,U.S.,$35.82B,$7.23B,$51.04B,50K
427,Broadcom,AVGO,Semiconductors and Other Electronic Components,Palo Alto,California,U.S.,$35.82B,$14.08B,$72.86B,20K
428,JFE Holdings,JFEEF,Metals,Tokyo,~,Japan,$35.8B,$1.37B,$38.06B,62.22K
429,Hailiang Group,~,Trading,Hangzhou,~,China,$35.7B,$32.2M,$10.31B,26.73K
430,US Foods Holding,USFD,Wholesalers: Food and Grocery,Rosemont,Illinois,U.S.,$35.6B,$506M,$13.19B,30K
431,ELO Group,~,Food & Drug Stores,Croix,~,France,$35.57B,$-409.7M,$22.96B,145.03K
432,Migros Group,~,Food & Drug Stores,Zurich,~,Switzerland,$35.56B,$205.9M,$95.61B,72.52K
433,Mercadona,~,Food & Drug Stores,Valencia,~,Spain,$35.53B,$1.09B,$14.94B,98.7K
434,D.R. Horton,DHI,Homebuilders,Arlington,Texas,U.S.,$35.46B,$4.75B,$32.58B,13.45K
435,China Electronics,~,"Electronics, Electrical Equip.",Shenzhen,~,China,$35.39B,$26.8M,$61.09B,183.47K
436,Shudao Investment Group,~,Engineering & Construction,Chengdu,~,China,$35.38B,$685.9M,$188.45B,55.88K
437,China National Coal Group,~,"Mining, Crude-Oil Production",Beijing,~,China,$35.36B,$2.15B,$73.99B,144.53K
438,TongLing Nonferrous Metals Group,~,Metals,Tongling,~,China,$35.24B,$59.7M,$14.24B,21.44K
439,CK Hutchison Holdings,CKHUY,Specialty Retailers,Hong Kong,~,China,$35.2B,$3B,$148.42B,300K
440,Philip Morris International,PM,Tobacco,Stamford,Connecticut,U.S.,$35.17B,$7.81B,$65.3B,82.7K
441,Paccar,PCAR,Motor Vehicles & Parts,Bellevue,Washington,U.S.,$35.13B,$4.6B,$40.82B,32.4K
442,PDD Holdings,PDD,Internet Services and Retailing,Shanghai,~,China,$34.98B,$8.48B,$49.04B,17.4K
443,CRH,CRH,"Building Materials, Glass",Dublin,~,Ireland,$34.95B,$3.18B,$47.47B,78.5K
444,Quanta Computer,~,"Computers, Office Equipment",Taoyuan,~,Taiwan,$34.86B,$1.27B,$22.52B,56.71K
445,Salesforce,CRM,Computer Software,San Francisco,California,U.S.,$34.86B,$4.14B,$99.82B,72.68K
446,AIA Group,AAGIY,"Insurance: Life, Health (stock)",Hong Kong,~,China,$34.85B,$3.76B,$286.32B,27.32K
447,Nucor,NUE,Metals,Charlotte,North Carolina,U.S.,$34.71B,$4.52B,$35.34B,32K
448,Jabil,JBL,Semiconductors and Other Electronic Components,St. Petersburg,Florida,U.S.,$34.7B,$818M,$19.42B,236K
449,National Australia Bank,NABZY,Banks: Commercial and Savings,Melbourne,~,Australia,$34.55B,$4.93B,$682.71B,38.52K
450,SAP,SAP,Computer Software,Walldorf,~,Germany,$34.54B,$6.64B,$75.47B,107.6K
451,CRRC Group,~,Industrial Machinery,Beijing,~,China,$34.52B,$861.5M,$76.6B,165.34K
452,Shanghai Delong Steel Group,~,Metals,Shanghai,~,China,$34.4B,$223.3M,$21.81B,42.84K
453,Lennar,LEN,Homebuilders,Miami,Florida,U.S.,$34.23B,$3.94B,$39.23B,12.28K
454,Sompo Holdings,SMPNY,Insurance: Property and Casualty (Stock),Tokyo,~,Japan,$34.14B,$2.88B,$98.09B,48.42K
455,Eli Lilly,LLY,Pharmaceuticals,Indianapolis,Indiana,U.S.,$34.12B,$5.24B,$64.01B,43K
456,Korea Gas,~,Utilities,Daegu,~,South Korea,$34.11B,$-582.8M,$44.2B,4.16K
457,Molina Healthcare,MOH,Health Care: Insurance and Managed Care,Long Beach,California,U.S.,$34.07B,$1.09B,$14.89B,18K
458,Beijing Jianlong Heavy Industry Group,~,Metals,Beijing,~,China,$34.07B,$138.9M,$26.73B,57.86K
459,Cummins,CMI,Industrial Machinery,Columbus,Indiana,U.S.,$34.06B,$735M,$32.01B,75.5K
460,Shaanxi Construction Engineering Holding,~,Engineering & Construction,Xian,~,China,$34.06B,$352.7M,$61.08B,41.39K
461,Rabobank Group,~,Banks: Commercial and Savings,Utrecht,~,Netherlands,$34.04B,$4.63B,$677.93B,49.13K
462,Aisin,ASEKY,Motor Vehicles & Parts,Kariya,~,Japan,$33.97B,$628.3M,$30.7B,115.14K
463,Rajesh Exports,~,Trading,Bengaluru,~,India,$33.94B,$40.5M,$2.65B,141
464,British American Tobacco,BTI,Tobacco,London,~,Britain,$33.91B,$-17.86B,$151.31B,49.84K
465,CPC,~,Petroleum Refining,Kaohsiung,~,Taiwan,$33.9B,$-656.7M,$34.35B,17.14K
466,Bank of New York Mellon,BK,Banks: Commercial and Savings,New York,New York,U.S.,$33.8B,$3.29B,$409.95B,53.4K
467,Tongwei Group,~,Energy,Chengdu,~,China,$33.73B,$593.9M,$25.09B,58.33K
468,Netflix,NFLX,Entertainment,Los Gatos,California,U.S.,$33.72B,$5.41B,$48.73B,13K
469,Novo Nordisk,NVO,Pharmaceuticals,Bagsvaerd,~,Denmark,$33.7B,$12.14B,$46.61B,63.84K
470,Shougang Group,~,Metals,Beijing,~,China,$33.62B,$343.8M,$74.25B,83.51K
471,Shanxi Coking Coal Group,~,"Mining, Crude-Oil Production",Taiyuan,~,China,$33.53B,$1.25B,$73.32B,214.94K
472,Guangxi Investment Group,~,Diversified Financials,Nanning,~,China,$33.43B,$68.1M,$113.54B,32.24K
473,VTB Bank,~,Banks: Commercial and Savings,Moscow,~,Russia,$33.42B,$4.94B,$327.76B,76.1K
474,Mazda Motor,MZDAY,Motor Vehicles & Parts,Hiroshima,~,Japan,$33.4B,$1.44B,$25.07B,48.69K
475,Hunan Iron & Steel Group,~,Metals,Changsha,~,China,$33.34B,$834M,$24.47B,36.11K
476,Power Corp. of Canada,PWCDF,"Insurance: Life, Health (stock)",Montreal,~,Canada,$33.26B,$1.67B,$568.48B,40.3K
477,Truist Financial,TFC,Banks: Commercial and Savings,Charlotte,North Carolina,U.S.,$33.25B,$-1.09B,$535.35B,49.94K
478,Siemens Energy,SMNEY,Energy,Munich,~,Germany,$33.18B,$-4.83B,$50.7B,94K
479,Schlumberger,SLB,"Oil and Gas Equipment, Services",Houston,Texas,U.S.,$33.13B,$4.2B,$47.96B,111K
480,Ecopetrol,EC,"Mining, Crude-Oil Production",Bogota,~,Colombia,$33.13B,$4.87B,$72.4B,19.66K
481,Arrow Electronics,ARW,Wholesalers: Electronics and Office Equipment,Centennial,Colorado,U.S.,$33.11B,$903.5M,$21.73B,22.1K
482,Jeronimo Martins,JRONY,Food & Drug Stores,Lisbon,~,Portugal,$33.09B,$817.3M,$15.79B,134.38K
483,China National Aviation Fuel Group,~,Trading,Beijing,~,China,$32.98B,$98.8M,$10.7B,13.69K
484,Commonwealth Bank of Australia,CMWAY,Banks: Commercial and Savings,Sydney,~,Australia,$32.98B,$6.79B,$834.52B,49.45K
485,Centrica,CPYYY,Utilities,Windsor,~,Britain,$32.88B,$4.88B,$27.23B,21.01K
486,Linde,LIN,Chemicals,"Woking, Surrey",~,Britain,$32.85B,$6.2B,$80.81B,66.32K
487,Heineken,HEINY,Beverages,Amsterdam,~,Netherlands,$32.82B,$1.27B,$60.48B,89.73K
488,Luxshare Precision Industry,SZ: 002475,"Electronics, Electrical Equip.",Dongguan,~,China,$32.76B,$1.55B,$22.82B,232.59K
489,3M,MMM,Chemicals,St. Paul,Minnesota,U.S.,$32.68B,$-7B,$50.58B,85K
490,Visa,V,Diversified Financials,San Francisco,California,U.S.,$32.65B,$17.27B,$90.5B,28.8K
491,Apollo Global Management,APO,Diversified Financials,New York,New York,U.S.,$32.64B,$5.05B,$313.49B,6.86K
492,Emirates Group,~,Airlines,Dubai,~,United Arab Emirates,$32.64B,$4.69B,$44.64B,112.41K
493,Vibra Energia,PETRY,Petroleum Refining,Rio de Janeiro,~,Brazil,$32.63B,$954.5M,$8.96B,3.53K
494,Metro,MTTWF,Wholesalers: Food and Grocery,Dusseldorf,~,Germany,$32.58B,$468.1M,$12.33B,81.83K
495,Subaru,FUJHY,Motor Vehicles & Parts,Tokyo,~,Japan,$32.54B,$2.66B,$31.84B,37.69K
496,Air France-KLM Group,AFLYY,Airlines,Paris,~,France,$32.45B,$1.01B,$38.09B,76.27K
497,Enbridge,ENB,Pipelines,Calgary,~,Canada,$32.35B,$4.59B,$136.77B,12.45K
498,ABB,ABBNY,Industrial Machinery,Zurich,~,Switzerland,$32.23B,$3.75B,$40.94B,107.9K
499,Mitsubishi Heavy Industries,MHVYF,Industrial Machinery,Tokyo,~,Japan,$32.22B,$1.54B,$41.37B,77.7K
500,Samsung C&T,~,Engineering & Construction,Seoul,~,South Korea,$32.08B,$1.7B,$51.05B,18.68K
