rank,company,ticker,industry,city,state,country,revenue,profit,assets,employees
208,Sumitomo Mitsui Financial Group,SMFG,Banks: Commercial and Savings,Tokyo,~,Japan,$64.72B,$6.66B,$1.95T,120.37K
209,LG Electronics,~,"Electronics, Electrical Equip.",Seoul,~,South Korea,$64.49B,$545.8M,$46.5B,74K
210,Unilever,UL,Household and Personal Products,London,~,Britain,$64.44B,$7.01B,$83.13B,128.38K
211,Accenture,ACN,Information Technology Services,Dublin,~,Ireland,$64.11B,$6.87B,$51.25B,732.82K
212,Barclays,BCS,Banks: Commercial and Savings,London,~,Britain,$63.8B,$6.54B,$1.88T,92.4K
213,Jinneng Holding Group,~,"Mining, Crude-Oil Production",Datong,~,China,$63.64B,$993.6M,$159.09B,439.05K
214,Aluminum Corp. of China,~,Metals,Beijing,~,China,$63.6B,$876.5M,$86.87B,125K
215,Munich Re Group,MURGY,Insurance: Property and Casualty (Stock),Munich,~,Germany,$63.35B,$4.98B,$302.4B,42.81K
216,Sberbank,SBRCY,Banks: Commercial and Savings,Moscow,~,Russia,$63.33B,$17.74B,$583.49B,210.75K
217,Banco do Brasil,BDORY,Banks: Commercial and Savings,Brasilia,~,Brazil,$63.32B,$5.98B,$443.91B,86.22K
218,Progressive,PGR,Insurance: Property and Casualty (Stock),Mayfield Village,Ohio,U.S.,$62.11B,$3.9B,$88.69B,61.43K
219,IBM,IBM,Information Technology Services,Armonk,New York,U.S.,$61.86B,$7.5B,$135.24B,296.6K
220,Nippon Steel Corporation,NPSCY,Metals,Tokyo,~,Japan,$61.36B,$3.8B,$70.85B,121.24K
221,Deere,DE,Construction and Farm Machinery,Moline,Illinois,U.S.,$61.25B,$10.17B,$104.09B,82.96K
222,Nvidia,NVDA,Semiconductors and Other Electronic Components,Santa Clara,California,U.S.,$60.92B,$29.76B,$65.73B,29.6K
223,StoneX Group,SNEX,Diversified Financials,New York,New York,U.S.,$60.86B,$238.5M,$21.94B,4.14K
224,Zurich Insurance Group,ZURVY,Insurance: Property and Casualty (Stock),Zurich,~,Switzerland,$60.65B,$4.35B,$361.38B,59.59K
225,Bouygues,BOUYY,Engineering & Construction,Paris,~,France,$60.6B,$1.12B,$67.09B,201.5K
226,Mizuho Financial Group,MFG,Banks: Commercial and Savings,Tokyo,~,Japan,$60.5B,$4.7B,$1.84T,52.31K
227,Daimler Truck Holding,DTRUY,Motor Vehicles & Parts,Leinfelden-Echterdingen,~,Germany,$60.42B,$4.08B,$78.65B,102.95K
228,ING Group,ING,Banks: Commercial and Savings,Amsterdam,~,Netherlands,$60.4B,$4.48B,$1.08T,59.43K
229,Merck,MRK,Pharmaceuticals,Rahway,New Jersey,U.S.,$60.12B,$365M,$106.67B,71K
230,Bunge,BG,Food Production,Chesterfield,Missouri,U.S.,$59.54B,$2.24B,$25.37B,23K
231,Anheuser-Busch InBev,BUD,Beverages,Leuven,~,Belgium,$59.38B,$5.34B,$219.34B,154.54K
232,Industrial Bank,~,Banks: Commercial and Savings,Fuzhou,~,China,$59.15B,$10.89B,$1.43T,66.57K
233,POSCO Holdings,PKX,Metals,Seoul,~,South Korea,$59B,$1.3B,$78.34B,44.5K
234,Panasonic Holdings,PCRHY,"Electronics, Electrical Equip.",Osaka,~,Japan,$58.79B,$3.07B,$62.24B,228.42K
235,ConocoPhillips,COP,"Mining, Crude-Oil Production",Houston,Texas,U.S.,$58.57B,$10.96B,$95.92B,9.9K
236,Pfizer,PFE,Pharmaceuticals,New York,New York,U.S.,$58.5B,$2.12B,$226.5B,88K
237,Delta Air Lines,DAL,Airlines,Atlanta,Georgia,U.S.,$58.05B,$4.61B,$73.64B,103K
238,China Huaneng Group,~,Energy,Beijing,~,China,$57.89B,$1.63B,$219.91B,124.62K
239,China Energy Engineering Group,~,Engineering & Construction,Beijing,~,China,$57.71B,$600M,$112.89B,119.18K
240,Dongfeng Motor,~,Motor Vehicles & Parts,Wuhan,~,China,$57.6B,$-391.6M,$71.05B,122.66K
241,TD Synnex,SNX,Wholesalers: Electronics and Office Equipment,Fremont,California,U.S.,$57.56B,$626.9M,$29.41B,28K
242,Publix Super Markets,PFE,Food & Drug Stores,Lakeland,Florida,U.S.,$57.53B,$4.35B,$34.38B,253K
243,Zhejiang Hengyi Group,~,Chemicals,Hangzhou,~,China,$57.47B,$23.5M,$18.83B,22.42K
244,Allstate,ALL,Insurance: Property and Casualty (Stock),Northbrook,Illinois,U.S.,$57.09B,$-188M,$103.36B,53.2K
245,Assicurazioni Generali,ARZGY,"Insurance: Life, Health (stock)",Trieste,~,Italy,$57.02B,$4.05B,$561.75B,81.88K
246,Cisco Systems,CSCO,Network and Other Communications Equipment,San Jose,California,U.S.,$57B,$12.61B,$101.85B,84.9K
247,Repsol,REPYY,Petroleum Refining,Madrid,~,Spain,$56.98B,$3.42B,$68.07B,23.94K
248,Lenovo Group,LNVGY,"Computers, Office Equipment",Hong Kong,~,China,$56.86B,$1.01B,$38.75B,69.5K
249,HBIS Group,~,Metals,Shijiazhuang,~,China,$56.73B,$23.7M,$76.87B,97.8K
250,Contemporary Amperex Technology,300750,Motor Vehicles & Parts,Ningde,~,China,$56.63B,$6.23B,$101.04B,116.06K
251,Renault,RNLSY,Motor Vehicles & Parts,Boulogne-Billancourt,~,France,$56.62B,$2.38B,$134.65B,105.5K
252,Banco Bradesco,BBD,Banks: Commercial and Savings,Osasco,~,Brazil,$56.49B,$2.85B,$397.26B,79.58K
253,China Electronics Technology Group,~,Aerospace & Defense,Beijing,~,China,$56.08B,$2.56B,$92.8B,241.1K
254,Nationwide,~,Insurance: Property and Casualty (Mutual),Columbus,Ohio,U.S.,$54.61B,$-45.2M,$290.62B,24.12K
255,Charter Communications,CHTR,Telecommunications,Stamford,Connecticut,U.S.,$54.61B,$4.56B,$147.19B,101.1K
256,State Power Investment,~,Energy,Beijing,~,China,$54.48B,$1.62B,$247.05B,127.51K
