indexname,gvkey,tic,companyname
S&P 500,035182,CRWD,"CrowdStrike Holdings, Inc."
S&P 500,113490,CCI,Crown Castle Inc.
S&P 500,003650,CMI,Cummins Inc.
S&P 500,025340,DHI,"D.R. Horton, Inc."
S&P 500,003897,DTE,DTE Energy Company
S&P 500,061483,DVA,DaVita Inc.
S&P 500,003735,DHR,Danaher Corporation
S&P 500,031846,DRI,"Darden Restaurants, Inc."
S&P 500,035620,DDOG,"Datadog, Inc."
S&P 500,029015,DECK,Deckers Outdoor Corporation
S&P 500,003835,DE,Deere & Company
S&P 500,014489,DELL,Dell Technologies Inc.
S&P 500,003851,DAL,"Delta Air Lines, Inc."
S&P 500,014934,DVN,Devon Energy Corporation
S&P 500,162887,DXCM,"DexCom, Inc."
S&P 500,170750,FANG,"Diamondback Energy, Inc."
S&P 500,160991,DLR,"Digital Realty Trust, Inc."
S&P 500,004016,DG,Dollar General Corporation
S&P 500,031587,DLTR,"Dollar Tree, Inc."
S&P 500,004029,D,"Dominion Energy, Inc."
S&P 500,160211,DPZ,"Domino's Pizza, Inc."
S&P 500,037420,DASH,"DoorDash, Inc."
S&P 500,004058,DOV,Dover Corporation
S&P 500,034443,DOW,Dow Inc.
S&P 500,004060,DD,"DuPont de Nemours, Inc."
S&P 500,004093,DUK,Duke Energy Corporation
S&P 500,006223,EME,"EMCOR Group, Inc."
S&P 500,016478,EOG,"EOG Resources, Inc."
S&P 500,004430,EQT,EQT Corporation
S&P 500,004199,ETN,Eaton Corporation plc
S&P 500,179202,ECHO,EchoStar Corporation
S&P 500,004213,ECL,Ecolab Inc.
S&P 500,009846,EIX,Edison International
S&P 500,133366,EW,Edwards Lifesciences Corporation
S&P 500,016721,EA,Electronic Arts Inc.
S&P 500,145046,ELV,"Elevance Health, Inc."
S&P 500,006730,LLY,Eli Lilly and Company
S&P 500,004321,EMR,Emerson Electric Co.
S&P 500,007366,ETR,Entergy Corporation
S&P 500,004423,EFX,Equifax Inc.
S&P 500,138743,EQIX,"Equinix, Inc."
S&P 500,028733,EQR,Equity Residential
S&P 500,061380,ERIE,Erie Indemnity Company
S&P 500,030293,ESS,"Essex Property Trust, Inc."
S&P 500,061388,EG,"Everest Group, Ltd."
S&P 500,006338,EVRG,"Evergy, Inc."
S&P 500,007970,ES,Eversource Energy
S&P 500,008539,EXC,Exelon Corporation
S&P 500,027786,EXE,Expand Energy Corporation
S&P 500,126296,EXPE,"Expedia Group, Inc."
S&P 500,004494,EXPD,"Expeditors International of Washington, Inc."
S&P 500,160479,EXR,Extra Space Storage Inc.
S&P 500,004503,XOM,Exxon Mobil Corporation
S&P 500,121077,FFIV,"F5, Inc."
S&P 500,063172,FDS,FactSet Research Systems Inc.
S&P 500,013824,FICO,Fair Isaac Corporation
S&P 500,014225,FAST,Fastenal Company
S&P 500,004598,FDX,FedEx Corporation
S&P 500,076183,FDXF,"FedEx Freight Holding Company, Inc."
S&P 500,004605,FRT,Federal Realty Investment Trust
S&P 500,165993,FIS,"Fidelity National Information Services, Inc."
S&P 500,004640,FITB,Fifth Third Bancorp
S&P 500,175404,FSLR,"First Solar, Inc."
S&P 500,008099,FE,FirstEnergy Corp.
S&P 500,012635,FISV,"Fiserv, Inc."
S&P 500,030170,FLEX,Flex Ltd.
S&P 500,004839,F,Ford Motor Company
S&P 500,183377,FTNT,"Fortinet, Inc."
S&P 500,026590,FTV,Fortive Corporation
S&P 500,034636,FOXA,Fox Corporation
S&P 500,034636,FOX,Fox Corporation
S&P 500,004885,BEN,"Franklin Resources, Inc."
S&P 500,014590,FCX,Freeport-McMoRan Inc.
S&P 500,041818,GEHC,GE HealthCare Technologies Inc.
S&P 500,045169,GEV,GE Vernova Inc.
S&P 500,141459,GRMN,Garmin Ltd.
S&P 500,012441,IT,"Gartner, Inc."
S&P 500,015855,GEN,Gen Digital Inc.
S&P 500,183736,GNRC,Generac Holdings Inc.
S&P 500,005046,GD,General Dynamics Corporation
S&P 500,005047,GE,General Electric Company
S&P 500,005071,GIS,"General Mills, Inc."
S&P 500,005073,GM,General Motors Company
S&P 500,005125,GPC,Genuine Parts Company
S&P 500,024856,GILD,"Gilead Sciences, Inc."
S&P 500,141913,GPN,Global Payments Inc.
S&P 500,010614,GL,Globe Life Inc.
S&P 500,023071,GDDY,GoDaddy Inc.
S&P 500,022260,HCA,"HCA Healthcare, Inc."
S&P 500,005606,HPQ,HP Inc.
S&P 500,005439,HAL,Halliburton Company
S&P 500,005518,HAS,"Hasbro, Inc."
S&P 500,013125,DOC,"Healthpeak Properties, Inc."
S&P 500,061494,HSIC,"Henry Schein, Inc."
S&P 500,026156,HPE,Hewlett Packard Enterprise Company
S&P 500,005643,HLT,Hilton Worldwide Holdings Inc.
S&P 500,075626,HONA,Honeywell Aerospace Inc.
S&P 500,005709,HRL,Hormel Foods Corporation
S&P 500,007063,HST,"Host Hotels & Resorts, Inc."
S&P 500,028192,HWM,Howmet Aerospace Inc.
S&P 500,005764,HUBB,Hubbell Incorporated
S&P 500,027914,HUM,Humana Inc.
S&P 500,005786,HBAN,Huntington Bancshares Incorporated
S&P 500,186310,HII,"Huntington Ingalls Industries, Inc."
S&P 500,015267,IEX,IDEX Corporation
S&P 500,024197,IDXX,"IDEXX Laboratories, Inc."
S&P 500,017928,IQV,IQVIA Holdings Inc.
S&P 500,005878,ITW,Illinois Tool Works Inc.
S&P 500,029127,INCY,Incyte Corporation
S&P 500,030098,IR,Ingersoll Rand Inc.
S&P 500,177227,PODD,Insulet Corporation
S&P 500,006008,INTC,Intel Corporation
S&P 500,176701,IBKR,"Interactive Brokers Group, Inc."
S&P 500,163610,ICE,"Intercontinental Exchange, Inc."
S&P 500,006066,IBM,International Business Machines Corporation
S&P 500,006078,IFF,International Flavors & Fragrances Inc.
S&P 500,006104,IP,International Paper Company
S&P 500,027928,INTU,Intuit Inc.
S&P 500,136725,ISRG,"Intuitive Surgical, Inc."
S&P 500,029804,IVZ,Invesco Ltd.
S&P 500,030004,INVH,Invitation Homes Inc.
S&P 500,062374,IRM,Iron Mountain Incorporated
S&P 500,005783,JBHT,"J.B. Hunt Transport Services, Inc."
S&P 500,002968,JPM,JPMorgan Chase & Co.
S&P 500,028195,JBL,Jabil Inc.
S&P 500,011811,JKHY,"Jack Henry & Associates, Inc."
S&P 500,006216,J,Jacobs Solutions Inc.
S&P 500,006266,JNJ,Johnson & Johnson
S&P 500,006268,JCI,Johnson Controls International plc
S&P 500,179741,KKR,KKR & Co. Inc.
S&P 500,006304,KLAC,KLA Corporation
S&P 500,041897,KVUE,Kenvue Inc.
S&P 500,028877,KDP,Keurig Dr Pepper Inc.
S&P 500,009783,KEY,KeyCorp
S&P 500,020232,KEYS,"Keysight Technologies, Inc."
S&P 500,006435,KMB,Kimberly-Clark Corporation
S&P 500,024731,KIM,Kimco Realty Corporation
S&P 500,006310,KMI,"Kinder Morgan, Inc."
S&P 500,005492,LHX,"L3Harris Technologies, Inc."
S&P 500,014960,LH,Labcorp Holdings Inc.
S&P 500,006565,LRCX,Lam Research Corporation
S&P 500,161844,LVS,Las Vegas Sands Corp.
S&P 500,165123,LDOS,"Leidos Holdings, Inc."
S&P 500,006669,LEN,Lennar Corporation
S&P 500,122380,LII,Lennox International Inc.
S&P 500,025124,LIN,Linde plc
S&P 500,165746,LYV,"Live Nation Entertainment, Inc."
S&P 500,006774,LMT,Lockheed Martin Corporation
S&P 500,006781,L,Loews Corporation
S&P 500,006829,LOW,"Lowe's Companies, Inc."
S&P 500,023249,LITE,Lumentum Holdings Inc.
S&P 500,294524,LYB,LyondellBasell Industries N.V.
S&P 500,004699,MTB,M&T Bank Corporation
S&P 500,014418,MGM,MGM Resorts International
S&P 500,178507,MSCI,MSCI Inc.
S&P 500,186989,MPC,Marathon Petroleum Corporation
S&P 500,028930,MAR,"Marriott International, Inc."
S&P 500,007065,MRSH,"Marsh & McLennan Companies, Inc."
S&P 500,029733,MLM,"Martin Marietta Materials, Inc."
S&P 500,137310,MRVL,"Marvell Technology, Inc."
S&P 500,007085,MAS,Masco Corporation
S&P 500,160225,MA,Mastercard Incorporated
S&P 500,007146,MKC,"McCormick & Company, Incorporated"
S&P 500,007154,MCD,McDonald's Corporation
S&P 500,007171,MCK,McKesson Corporation
S&P 500,007228,MDT,Medtronic plc
S&P 500,007257,MRK,"Merck & Co., Inc."
S&P 500,133768,MET,"MetLife, Inc."
S&P 500,170617,META,"Meta Platforms, Inc."
S&P 500,065772,MTD,Mettler-Toledo International Inc.
S&P 500,027965,MCHP,Microchip Technology Incorporated
S&P 500,007343,MU,"Micron Technology, Inc."
S&P 500,012141,MSFT,Microsoft Corporation
S&P 500,029649,MAA,"Mid-America Apartment Communities, Inc."
S&P 500,034410,MRNA,"Moderna, Inc."
S&P 500,003505,TAP,Molson Coors Beverage Company
S&P 500,142953,MDLZ,"Mondelez International, Inc."
S&P 500,160888,MPWR,"Monolithic Power Systems, Inc."
S&P 500,024316,MNST,Monster Beverage Corporation
S&P 500,139665,MCO,Moody's Corporation
S&P 500,012124,MS,Morgan Stanley
S&P 500,007585,MSI,"Motorola Solutions, Inc."
S&P 500,007906,NKE,"NIKE, Inc."
S&P 500,135990,NRG,"NRG Energy, Inc."
S&P 500,117768,NVDA,NVIDIA Corporation
S&P 500,012459,NVR,"NVR, Inc."
S&P 500,184725,NXPI,NXP Semiconductors N.V.
S&P 500,149337,NDAQ,"Nasdaq, Inc."
S&P 500,061591,NTAP,"NetApp, Inc."
S&P 500,147579,NFLX,"Netflix, Inc."
S&P 500,007881,NEM,Newmont Corporation
S&P 500,018043,NWSA,News Corporation
S&P 500,018043,NWS,News Corporation
S&P 500,004517,NEE,"NextEra Energy, Inc."
S&P 500,007974,NI,NiSource Inc.
S&P 500,007921,NDSN,Nordson Corporation
S&P 500,007923,NSC,Norfolk Southern Corporation
S&P 500,007982,NTRS,Northern Trust Corporation
S&P 500,007985,NOC,Northrop Grumman Corporation
S&P 500,104432,NCLH,Norwegian Cruise Line Holdings Ltd.
S&P 500,008030,NUE,Nucor Corporation
S&P 500,028180,ORLY,"O'Reilly Automotive, Inc."
S&P 500,134932,ON,ON Semiconductor Corporation
S&P 500,008151,OKE,"ONEOK, Inc."
S&P 500,008068,OXY,Occidental Petroleum Corporation
